EmploymentID,EmployeeID,DepartmentID,JobID,LocationID,HireDate,Working Days,TerminationDate,EmploymentStatus,MonthlySalary,Bonus,OvertimeHours,WorkMode,,,,
1,1,3,4,1,2025-01-11,294,,Active,116324,5408,29,Onsite,,,,
2,2,4,6,2,2024-01-26,545,,Active,77154,17334,32,Hybrid,,,,
3,3,5,5,1,2023-05-15,729,,Active,116907,6359,14,Onsite,,,,
4,4,5,4,3,2023-04-24,744,,Active,120683,793,26,Remote,,,,
5,5,3,4,2,2023-05-22,724,,Active,100318,814,25,Onsite,,,,
6,6,4,4,4,2023-08-16,662,,Active,136751,827,11,Hybrid,,,,
7,7,2,1,2,2023-06-07,233,2024-04-28,Resigned,97329,8795,30,Onsite,,,,
8,8,1,6,1,2025-01-25,284,,Active,179869,15114,22,Remote,,,,
9,9,5,1,1,2022-02-24,732,2024-12-14,Resigned,145158,4662,39,Onsite,,,,
10,10,4,1,2,2024-12-30,304,,Active,142945,13224,34,Remote,,,,
11,11,1,4,2,2022-01-21,1070,,Active,53666,3600,23,Onsite,,,,
12,12,4,2,1,2024-03-30,499,,Active,139270,4757,25,Onsite,,,,
13,13,1,1,4,2023-04-29,739,,Active,97853,9916,39,Onsite,,,,
14,14,5,1,1,2021-08-03,1193,,Active,138501,2079,29,Onsite,,,,
15,15,4,1,2,2024-03-13,512,,Active,109077,5490,1,Onsite,,,,
16,16,3,2,2,2023-08-05,669,,Active,97487,12342,38,Remote,,,,
17,17,1,1,3,2021-06-11,1230,,Active,150947,19846,28,Onsite,,,,
18,18,3,3,1,2022-03-19,1029,,Active,119055,19694,36,Onsite,,,,
19,19,4,4,1,2024-07-11,212,2025-05-02,Resigned,132127,9503,15,Onsite,,,,
20,20,1,5,3,2023-06-29,696,,Active,92057,6150,9,Onsite,,,,
21,21,5,4,3,2023-07-04,693,,Active,163865,8705,0,Onsite,,,,
22,22,1,2,1,2024-11-10,339,,Active,161243,14596,36,Onsite,,,,
23,23,1,2,3,2023-05-04,736,,Active,64063,2106,22,Onsite,,,,
24,24,2,2,1,2022-06-05,974,,Active,144608,17685,3,Onsite,,,,
25,25,2,1,1,2023-03-16,247,2024-02-24,Resigned,106268,5475,37,Hybrid,,,,
26,26,5,3,1,2024-11-02,344,,Active,93756,8041,21,Onsite,,,,
27,27,5,1,2,2023-01-01,824,,Active,92924,8646,9,Onsite,,,,
28,28,3,5,4,2022-12-03,844,,Active,173575,3067,0,Hybrid,,,,
29,29,3,6,2,2021-01-29,1325,,Active,134599,6819,38,Onsite,,,,
30,30,3,3,4,2022-10-26,872,,Active,165900,7715,19,Onsite,,,,
31,31,2,2,1,2023-08-16,662,,Active,83890,481,8,Onsite,,,,
32,32,2,1,3,2021-10-23,1134,,Active,79008,60,39,Onsite,,,,
33,33,4,3,3,2024-06-06,451,,Active,65581,18706,36,Remote,,,,
34,34,3,5,1,2023-11-07,603,,Active,139006,1341,15,Hybrid,,,,
35,35,2,1,3,2022-01-09,1079,,Active,122454,13849,31,Onsite,,,,
36,36,1,3,4,2024-01-15,554,,Active,89813,4430,6,Onsite,,,,
37,37,3,2,3,2023-04-07,755,,Active,81062,18803,38,Hybrid,,,,
38,38,3,5,3,2024-07-20,419,,Active,97375,2667,33,Onsite,,,,
39,39,5,6,1,2021-07-02,1215,,Active,139071,6640,3,Hybrid,,,,
40,40,3,2,2,2024-03-30,499,,Active,124273,9323,1,Onsite,,,,
41,41,1,5,2,2023-01-29,339,2024-05-16,Resigned,114346,7206,28,Onsite,,,,
42,42,1,4,1,2022-11-28,849,,Active,128691,10616,9,Hybrid,,,,
43,43,2,6,1,2021-01-03,1344,,Active,69951,2033,3,Onsite,,,,
44,44,3,2,1,2022-12-06,843,,Active,167744,9155,11,Hybrid,,,,
45,45,2,1,3,2023-07-28,675,,Active,176878,8202,12,Remote,,,,
46,46,1,2,1,2024-08-26,394,,Active,122129,7274,33,Onsite,,,,
47,47,1,1,3,2021-09-16,1161,,Active,118781,7214,22,Onsite,,,,
48,48,5,5,3,2022-02-23,1047,,Active,157855,7906,37,Onsite,,,,
49,49,3,4,1,2022-08-03,932,,Active,128560,13239,2,Remote,,,,
50,50,1,5,3,2023-07-10,689,,Active,139377,13774,39,Onsite,,,,
51,51,2,2,2,2023-09-11,644,,Active,114669,14663,4,Remote,,,,
52,52,5,6,1,2023-08-31,651,,Active,131988,12880,39,Remote,,,,
53,53,3,4,1,2024-09-08,384,,Active,116719,1312,5,Onsite,,,,
54,54,3,6,4,2023-03-27,764,,Active,142624,13481,35,Onsite,,,,
55,55,3,5,2,2022-07-11,949,,Active,94138,14870,9,Remote,,,,
56,56,5,6,3,2021-03-23,1288,,Active,137124,294,1,Remote,,,,
57,57,3,6,3,2021-01-17,761,2023-12-18,Resigned,76575,1007,5,Onsite,,,,
58,58,5,5,2,2024-06-01,454,,Active,46435,571,14,Remote,,,,
59,59,2,3,2,2022-04-29,665,2024-11-14,Resigned,168797,8073,0,Remote,,,,
60,60,5,3,1,2022-12-05,844,,Active,122475,2428,11,Onsite,,,,
61,61,2,5,4,2021-03-20,1289,,Active,72082,11801,33,Onsite,,,,
62,62,3,4,4,2022-02-01,1063,,Active,86846,2844,28,Onsite,,,,
63,63,5,5,3,2023-09-01,471,2025-06-20,Resigned,67042,19280,27,Onsite,,,,
64,64,2,4,2,2021-03-25,1286,,Active,173386,5626,0,Onsite,,,,
65,65,4,3,4,2024-04-01,499,,Active,127711,15883,17,Onsite,,,,
66,66,3,5,4,2023-09-12,643,,Active,127970,13997,6,Onsite,,,,
67,67,1,6,4,2022-01-13,1076,,Active,167413,526,24,Onsite,,,,
68,68,3,5,1,2022-06-05,825,2025-08-03,Resigned,174749,5109,1,Onsite,,,,
69,69,3,5,1,2021-10-01,1150,,Active,128309,8357,31,Remote,,,,
70,70,4,1,2,2021-04-12,1274,,Active,114298,13399,16,Onsite,,,,
71,71,2,2,4,2022-08-15,924,,Active,141347,16019,32,Onsite,,,,
72,72,2,6,3,2021-08-13,837,2024-10-28,Resigned,157755,17301,38,Onsite,,,,
73,73,3,5,3,2021-05-02,1259,,Active,113577,105,39,Remote,,,,
74,74,2,4,2,2021-01-09,1339,,Active,175406,552,11,Hybrid,,,,
75,75,2,6,2,2021-04-21,1267,,Active,143511,899,5,Onsite,,,,
76,76,2,6,4,2024-02-25,524,,Active,140081,4109,10,Onsite,,,,
77,77,5,5,3,2023-06-28,697,,Active,128186,19811,7,Onsite,,,,
78,78,2,3,3,2023-07-03,694,,Active,47920,16002,27,Onsite,,,,
79,79,4,5,4,2024-05-15,467,,Active,157340,16542,23,Hybrid,,,,
80,80,1,4,2,2024-11-06,342,,Active,84063,15921,31,Hybrid,,,,
81,81,3,5,2,2022-08-01,934,,Active,169677,12582,11,Hybrid,,,,
82,82,2,4,2,2023-06-30,695,,Active,64975,12765,22,Remote,,,,
83,83,1,4,2,2022-01-10,1079,,Active,170932,4648,13,Onsite,,,,
84,84,4,4,1,2024-03-14,511,,Active,112649,10238,0,Onsite,,,,
85,85,2,5,2,2021-10-14,647,2024-04-07,Resigned,78397,16653,15,Hybrid,,,,
86,86,4,1,3,2024-10-16,357,,Active,124530,10552,19,Hybrid,,,,
87,87,4,3,1,2024-05-12,469,,Active,54847,14135,27,Onsite,,,,
88,88,1,3,2,2021-11-30,509,2023-11-10,Resigned,136155,281,28,Onsite,,,,
89,89,2,4,1,2023-12-19,573,,Active,109178,1229,11,Onsite,,,,
90,90,3,2,3,2024-06-28,435,,Active,90272,15398,30,Hybrid,,,,
91,91,2,5,1,2021-05-31,725,2024-03-08,Resigned,173335,1969,7,Hybrid,,,,
